sample_id	fastq_file
PRJ180538_VPH20T	PRJ180538_VPH20T.Tsqn180801.SI-GA-G6_1.fastq.gz
PRJ180538_VPH20T	PRJ180538_VPH20T.Tsqn180801.SI-GA-G6_2.fastq.gz
PRJ180538_VPH20T	PRJ180538_VPH20T.Tsqn180801.SI-GA-G6_3.fastq.gz
PRJ180538_VPH20T	PRJ180538_VPH20T.Tsqn180801.SI-GA-G6_4.fastq.gz
PRJ180539_VCBPH5T	PRJ180539_VCBPH5T.Tsqn180801.SI-GA-G7_1.fastq.gz
PRJ180539_VCBPH5T	PRJ180539_VCBPH5T.Tsqn180801.SI-GA-G7_2.fastq.gz
PRJ180539_VCBPH5T	PRJ180539_VCBPH5T.Tsqn180801.SI-GA-G7_3.fastq.gz
PRJ180539_VCBPH5T	PRJ180539_VCBPH5T.Tsqn180801.SI-GA-G7_4.fastq.gz
PRJ180540_VCBP14T	PRJ180540_VCBP14T.Tsqn180801.SI-GA-G8_1.fastq.gz
PRJ180540_VCBP14T	PRJ180540_VCBP14T.Tsqn180801.SI-GA-G8_2.fastq.gz
PRJ180540_VCBP14T	PRJ180540_VCBP14T.Tsqn180801.SI-GA-G8_3.fastq.gz
PRJ180540_VCBP14T	PRJ180540_VCBP14T.Tsqn180801.SI-GA-G8_4.fastq.gz
PRJ180541_VPH8T	PRJ180541_VPH8T.Tsqn180801.SI-GA-G9_1.fastq.gz
PRJ180541_VPH8T	PRJ180541_VPH8T.Tsqn180801.SI-GA-G9_2.fastq.gz
PRJ180541_VPH8T	PRJ180541_VPH8T.Tsqn180801.SI-GA-G9_3.fastq.gz
PRJ180541_VPH8T	PRJ180541_VPH8T.Tsqn180801.SI-GA-G9_4.fastq.gz
PRJ180542_VPH23T	PRJ180542_VPH23T.Tsqn180801.SI-GA-G10_1.fastq.gz
PRJ180542_VPH23T	PRJ180542_VPH23T.Tsqn180801.SI-GA-G10_2.fastq.gz
PRJ180542_VPH23T	PRJ180542_VPH23T.Tsqn180801.SI-GA-G10_3.fastq.gz
PRJ180542_VPH23T	PRJ180542_VPH23T.Tsqn180801.SI-GA-G10_4.fastq.gz
PRJ180543_VPH36T	PRJ180543_VPH36T.Tsqn180801.SI-GA-G11_1.fastq.gz
PRJ180543_VPH36T	PRJ180543_VPH36T.Tsqn180801.SI-GA-G11_2.fastq.gz
PRJ180543_VPH36T	PRJ180543_VPH36T.Tsqn180801.SI-GA-G11_3.fastq.gz
PRJ180543_VPH36T	PRJ180543_VPH36T.Tsqn180801.SI-GA-G11_4.fastq.gz
PRJ180544_PGL3	PRJ180544_PGL3.Tsqn180801.SI-GA-G12_1.fastq.gz
PRJ180544_PGL3	PRJ180544_PGL3.Tsqn180801.SI-GA-G12_2.fastq.gz
PRJ180544_PGL3	PRJ180544_PGL3.Tsqn180801.SI-GA-G12_3.fastq.gz
PRJ180544_PGL3	PRJ180544_PGL3.Tsqn180801.SI-GA-G12_4.fastq.gz
PRJ180545_LSI_noIAA	PRJ180545_LSI_noIAA.Tsqn180801.SI-GA-F3_1.fastq.gz
PRJ180545_LSI_noIAA	PRJ180545_LSI_noIAA.Tsqn180801.SI-GA-F3_2.fastq.gz
PRJ180545_LSI_noIAA	PRJ180545_LSI_noIAA.Tsqn180801.SI-GA-F3_3.fastq.gz
PRJ180545_LSI_noIAA	PRJ180545_LSI_noIAA.Tsqn180801.SI-GA-F3_4.fastq.gz
PRJ180546_LSI_IAA	PRJ180546_LSI_IAA.Tsqn180801.SI-GA-F4_1.fastq.gz
PRJ180546_LSI_IAA	PRJ180546_LSI_IAA.Tsqn180801.SI-GA-F4_2.fastq.gz
PRJ180546_LSI_IAA	PRJ180546_LSI_IAA.Tsqn180801.SI-GA-F4_3.fastq.gz
PRJ180546_LSI_IAA	PRJ180546_LSI_IAA.Tsqn180801.SI-GA-F4_4.fastq.gz
PRJ180547_LL_30	PRJ180547_LL_30.Tsqn180801.SI-GA-F1_1.fastq.gz
PRJ180547_LL_30	PRJ180547_LL_30.Tsqn180801.SI-GA-F1_2.fastq.gz
PRJ180547_LL_30	PRJ180547_LL_30.Tsqn180801.SI-GA-F1_3.fastq.gz
PRJ180547_LL_30	PRJ180547_LL_30.Tsqn180801.SI-GA-F1_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_4.fastq.gz
